0.1	0
0.2	2
0.3	2
0.4	2
0.5	2
0.6	2
0.7	2
0.8	2
0.9	2
1.0	2
1.1	2
1.2	2
1.3	2
1.4	2
1.5	2
1.6	2
1.7	2
1.8	2
1.9	2
2.0	2
2.1	2
2.2	2
2.3	2
2.4	2
2.5	2
2.6	2
2.7	2
2.8	2
2.9	2
3.0	4
3.1	3
3.2	2
3.3	2
3.4	2
3.5	2
3.6	2
3.7	2
3.8	2
3.9	2
4.0	2
4.1	2
4.2	2
4.3	2
4.4	2
4.5	2
4.6	2
4.7	2
4.8	2
4.9	2
5.0	2
5.1	2
5.2	2
5.3	2
5.4	2
5.5	2
5.6	2
5.7	2
5.8	2
5.9	2
6.0	2
6.1	2
6.2	2
6.3	2
6.4	2
6.5	2
6.6	2
6.7	2
6.8	2
6.9	2
7.0	2
7.1	2
7.2	2
7.3	2
7.4	2
7.5	2
7.6	0
7.7	0
7.8	0
7.9	2
8.0	2
8.1	2
8.2	2
8.3	2
8.4	2
8.5	3
8.6	3
8.7	0
8.8	2
8.9	2
9.0	2
9.1	2
9.2	2
9.3	2
9.4	2
9.5	2
9.6	2
9.7	2
9.8	2
9.9	2
10.0	4
10.1	4
10.2	2
10.3	3
10.4	2
10.5	1
10.6	2
10.7	1
10.8	0
10.9	0
11.0	2
11.1	2
11.2	2
11.3	2
11.4	2
11.5	2
11.6	2
11.7	2
11.8	2
11.9	2
12.0	2
12.1	2
12.2	2
12.3	2
12.4	2
12.5	2
12.6	2
12.7	2
12.8	2
12.9	3
13.0	1
13.1	1
13.2	2
13.3	2
13.4	0
13.5	2
13.6	2
13.7	2
13.8	2
13.9	2
14.0	2
14.1	2
14.2	1
14.3	2
14.4	2
14.5	0
14.6	2
14.7	2
14.8	2
14.9	2
15.0	0
15.1	2
15.2	2
15.3	2
15.4	0
15.5	2
15.6	3
15.7	3
15.8	2
15.9	2
16.0	2
16.1	2
16.2	2
16.3	2
16.4	2
16.5	2
16.6	2
16.7	2
16.8	2
16.9	2
17.0	2
17.1	2
17.2	1
17.3	3
17.4	2
17.5	2
17.6	2
17.7	1
17.8	2
17.9	2
18.0	2
18.1	2
18.2	2
18.3	2
18.4	2
18.5	2
18.6	4
18.7	2
18.8	2
18.9	2
19.0	2
19.1	2
19.2	2
19.3	4
19.4	2
19.5	0
19.6	0
19.7	2
19.8	2
19.9	2
20.0	0
20.1	2
20.2	2
20.3	2
20.4	2
20.5	2
20.6	2
20.7	2
20.8	2
20.9	2
21.0	2
21.1	4
21.2	2
21.3	3
21.4	2
21.5	0
21.6	1
21.7	2
21.8	2
21.9	2
22.0	2
22.1	2
22.2	2
22.3	2
22.4	2
22.5	2
22.6	2
22.7	2
22.8	2
22.9	2
23.0	3
23.1	0
23.2	2
23.3	2
23.4	2
23.5	2
23.6	2
23.7	2
23.8	2
23.9	4
24.0	2
24.1	2
24.2	2
24.3	2
24.4	2
24.5	2
24.6	2
24.7	2
24.8	2
24.9	2
25.0	2
25.1	2
25.2	2
25.3	2
25.4	2
25.5	2
25.6	2
25.7	2
25.8	0
25.9	0
26.0	2
26.1	2
26.2	2
26.3	2
26.4	2
26.5	2
26.6	2
26.7	2
26.8	0
26.9	2
27.0	2
27.1	2
27.2	2
27.3	2
27.4	2
27.5	2
27.6	2
27.7	1
27.8	2
27.9	2
28.0	2
28.1	2
28.2	2
28.3	2
28.4	2
28.5	2
28.6	2
28.7	2
28.8	1
28.9	2
29.0	2
29.1	2
29.2	2
29.3	2
29.4	2
29.5	2
29.6	2
29.7	2
29.8	2
29.9	2
30.0	2
30.1	2
30.2	0
30.3	2
30.4	2
30.5	2
30.6	2
30.7	2
30.8	2
30.9	2
31.0	2
31.1	0
31.2	2
31.3	2
31.4	2
31.5	2
31.6	2
31.7	2
31.8	2
31.9	2
32.0	2
32.1	2
32.2	2
32.3	2
32.4	0
32.5	4
32.6	2
32.7	2
32.8	2
32.9	2
33.0	2
33.1	2
33.2	2
33.3	2
33.4	2
33.5	2
33.6	2
33.7	2
33.8	2
33.9	2
34.0	0
